<DATE>;<TIME>;GAZPROM;BRENT;RTS;USD_RUB
12.10.2020;15:00:00;17063;42.29;116680;77481
12.10.2020;16:00:00;17012;41.67;116200;77602
12.10.2020;17:00:00;17037;41.74;116220;77591
12.10.2020;18:00:00;17030;41.62;115950;77606
12.10.2020;19:00:00;17039;41.57;116010;77597
12.10.2020;20:00:00;17052;41.7;116130;77577
12.10.2020;21:00:00;17049;41.68;116070;77604
12.10.2020;22:00:00;17053;41.79;115970;77644
12.10.2020;23:00:00;17058;41.73;116150;77657
13.10.2020;10:00:00;16967;41.82;115550;77822
13.10.2020;11:00:00;17066;42.3;116530;77661
13.10.2020;12:00:00;17050;42.48;116580;77564
13.10.2020;13:00:00;17029;42.36;116460;77523
13.10.2020;14:00:00;16971;42.58;116510;77472
13.10.2020;15:00:00;16920;42.18;115990;77647
13.10.2020;16:00:00;16864;42.35;115190;77716
13.10.2020;17:00:00;16788;42.25;115300;77658
13.10.2020;18:00:00;16765;42.43;115270;77614
13.10.2020;19:00:00;16786;42.57;115430;77523
13.10.2020;20:00:00;16775;42.46;115110;77605
13.10.2020;21:00:00;16774;42.55;115180;77612
13.10.2020;22:00:00;16794;42.49;115260;77581
13.10.2020;23:00:00;16772;42.5;115210;77538
14.10.2020;10:00:00;16832;42.31;115620;77813
14.10.2020;11:00:00;16872;42.6;116000;77676
14.10.2020;12:00:00;16859;42.54;115750;77732
